timestamp;runtime_tick;sequence;phase;reason;decision;field_label;field_focus;field_clarity;field_stability;field_fragmentation;field_strain;field_pressure;field_support;field_observation_need;field_replan_pressure;field_action_support;action_clearance;action_inhibition;regulated_courage;decision_strength;state_maturity;decision_readiness;processing_load;processing_tension;felt_pressure;felt_stability;thought_pressure;thought_support;context_cluster_id;inner_context_cluster_id
1767375300000000;0;1;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1585;0.1773;0.0202;0.5899;0.2126;0.6257;0.4983;0.6836;0.6933;0.1067;0.1629;0.1975;1.0000;0.0826;0.7180;-;inner_ctx_6
1767375600000000;1;2;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1423;0.1688;0.0342;0.6424;0.2099;0.6410;-0.0542;0.6735;0.6888;0.0580;0.1255;0.2048;1.0000;0.0878;0.8470;ctx_3;inner_ctx_6
1767375900000000;2;3;hold;context_cluster_negative;WAIT;active_perception_field;0.0000;0.2653;0.0000;0.0000;0.0000;0.2997;0.3553;0.2390;0.2199;0.2087;0.6279;0.2900;0.6365;1.3902;0.6726;0.6602;0.4685;0.4498;0.3226;1.0000;0.1424;0.9296;ctx_9;inner_ctx_6
1767376200000000;3;4;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1490;0.1725;0.0311;0.7020;0.2109;0.6638;0.4601;0.7485;0.7699;0.2180;0.2290;0.2535;1.0000;0.0978;0.9835;ctx_3;inner_ctx_7
1767376500000000;4;5;hold;context_cluster_negative;WAIT;fragmented_perception_field;0.0000;0.1530;0.0000;0.0000;0.0000;0.2484;0.0338;0.4085;0.4537;0.0184;0.7294;0.2446;0.6787;1.0582;0.8259;0.8171;0.1978;0.2254;0.2916;1.0000;0.1376;0.9928;ctx_3;inner_ctx_6
1767376800000000;5;6;hold;context_cluster_negative;WAIT;active_perception_field;0.0000;0.2528;0.0000;0.0000;0.0000;0.3250;0.3392;0.2471;0.2303;0.2182;0.7928;0.2470;0.7211;1.0912;0.8343;0.8015;0.4699;0.4564;0.3597;1.0000;0.1564;1.0000;ctx_12;inner_ctx_5
1767377100000000;6;7;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1417;0.1684;0.0503;0.7086;0.2513;0.6722;-0.2507;0.7327;0.7016;0.3056;0.2903;0.1422;1.0000;0.1037;1.0000;-;inner_ctx_1
1767377400000000;7;8;act;plan_allowed;LONG;active_perception_field;0.0000;0.2549;0.0000;0.0000;0.0000;0.3195;0.3417;0.2414;0.2270;0.2222;0.7775;0.2340;0.6837;1.3897;0.8148;0.7922;0.5345;0.4709;0.2934;1.0000;0.1064;1.0000;ctx_25;inner_ctx_6
1767378900000000;12;9;hold;pause_mode;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1517;0.1750;0.0227;0.6646;0.2440;0.5766;0.6290;0.7601;0.7483;0.4095;0.3617;0.1557;1.0000;0.0970;1.0000;-;inner_ctx_9
1767379200000000;13;10;hold;pause_mode;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1362;0.1637;0.0475;0.6969;0.1838;0.6047;0.3780;0.7773;0.7701;0.2856;0.2310;0.1801;1.0000;0.0966;1.0000;-;inner_ctx_6
1767379500000000;14;11;hold;pause_mode;SHORT;active_perception_field;0.0000;0.2607;0.0000;0.0000;0.0000;0.3027;0.3476;0.2397;0.2186;0.2045;0.6398;0.3167;0.5805;0.5788;0.6912;0.6626;0.6484;0.5701;0.3380;1.0000;0.1579;1.0000;ctx_14;inner_ctx_6
1767379800000000;15;12;observe;zero_point_regulation;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1566;0.1774;0.0186;0.5797;0.3865;0.5541;-0.6214;0.5888;0.5358;0.6091;0.5196;0.2607;1.0000;0.1096;1.0000;ctx_49;inner_ctx_7
1767380100000000;16;13;hold;pause_mode;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1616;0.1793;0.0186;0.6577;0.2643;0.6207;-0.0697;0.7371;0.7219;0.4232;0.3444;0.2132;1.0000;0.0925;1.0000;ctx_51;inner_ctx_6
1767380400000000;17;14;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1470;0.1700;0.0285;0.6716;0.2408;0.6371;0.6603;0.7339;0.7116;0.5584;0.4299;0.2412;1.0000;0.0927;1.0000;ctx_4;inner_ctx_6
1767380700000000;18;15;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1413;0.1660;0.0515;0.7826;0.1820;0.7062;0.1040;0.8589;0.8334;0.3117;0.2755;0.2695;1.0000;0.0955;1.0000;ctx_12;inner_ctx_6
1767381000000000;19;16;observe;structure_bearing_observe;LONG;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1361;0.1633;0.0548;0.7875;0.1578;0.7269;0.0997;0.8480;0.8318;0.2379;0.2086;0.2414;1.0000;0.0953;1.0000;ctx_2;inner_ctx_6
1767381300000000;20;17;observe;development_reframe_observe;LONG;active_perception_field;0.0000;0.2552;0.0000;0.0000;0.0000;0.3060;0.3359;0.2380;0.2223;0.2215;0.7824;0.2572;0.7307;0.3526;0.8309;0.7850;0.5243;0.4866;0.3774;1.0000;0.1612;1.0000;ctx_25;inner_ctx_6
1767381600000000;21;18;hold;stressed_block;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1556;0.1759;0.0169;0.6509;0.3251;0.6542;-0.4118;0.6698;0.6282;0.4373;0.3369;0.1438;1.0000;0.1117;1.0000;ctx_49;inner_ctx_7
1767381900000000;22;19;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1406;0.1690;0.0329;0.6721;0.2609;0.6554;-0.4368;0.6877;0.6575;0.4151;0.3240;0.1521;1.0000;0.0944;1.0000;ctx_33;inner_ctx_6
1767382200000000;23;20;observe;zero_point_regulation;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1478;0.1726;0.0260;0.6487;0.2882;0.6428;-0.5735;0.6587;0.6310;0.4255;0.3269;0.1680;1.0000;0.0943;1.0000;ctx_20;inner_ctx_6
1767382500000000;24;21;observe;development_reframe_observe;LONG;quiet_field;0.0000;0.1912;0.0000;0.0000;0.0000;0.0766;0.1035;0.1725;0.1909;0.1397;0.6967;0.2704;0.6532;0.7913;0.7235;0.7094;0.5990;0.5013;0.2844;1.0000;0.1215;1.0000;ctx_15;inner_ctx_6
1767382800000000;25;22;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1545;0.1753;0.0191;0.6633;0.2469;0.6494;0.4172;0.7201;0.7163;0.4473;0.3267;0.2171;1.0000;0.1088;1.0000;ctx_44;inner_ctx_6
1767383100000000;26;23;hold;context_cluster_negative;WAIT;quiet_field;0.0000;0.2036;0.0000;0.0000;0.0000;0.2295;0.1741;0.2271;0.2329;0.1537;0.7381;0.2466;0.6745;0.9121;0.7755;0.7497;0.5476;0.4391;0.3134;1.0000;0.1355;1.0000;ctx_10;inner_ctx_6
1767383400000000;27;24;observe;zero_point_regulation;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1477;0.1719;0.0283;0.6777;0.2359;0.6476;0.2414;0.7405;0.7291;0.5208;0.4085;0.1471;1.0000;0.0988;1.0000;ctx_20;inner_ctx_7
1767383700000000;28;25;hold;stressed_block;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1431;0.1698;0.0393;0.6866;0.2210;0.6569;-0.2096;0.7358;0.7162;0.3981;0.3061;0.1211;1.0000;0.1025;1.0000;-;inner_ctx_6
1767384300000000;30;27;hold;maturity_block;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1622;0.1797;0.0265;0.6857;0.2406;0.6750;0.4091;0.7829;0.7599;0.3945;0.3103;0.1948;1.0000;0.1057;1.0000;-;inner_ctx_6
1767384600000000;31;28;observe;development_reframe_observe;LONG;quiet_field;0.0000;0.2143;0.0000;0.0000;0.0000;0.2123;0.1928;0.2197;0.2213;0.1748;0.7380;0.2910;0.6770;0.9951;0.7874;0.7404;0.6096;0.5969;0.4304;1.0000;0.1402;1.0000;ctx_11;inner_ctx_6
1767384900000000;32;29;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1461;0.1697;0.0463;0.6843;0.2478;0.6481;-0.1722;0.7437;0.7157;0.4067;0.3522;0.2132;1.0000;0.1021;1.0000;-;inner_ctx_7
1767385200000000;33;30;hold;stressed_block;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1491;0.1714;0.0301;0.6611;0.2588;0.6342;-0.0493;0.7123;0.6935;0.3922;0.3309;0.1809;1.0000;0.1019;1.0000;-;inner_ctx_6
1767385500000000;34;31;hold;fused_score_too_low;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1513;0.1732;0.0384;0.6836;0.2334;0.6536;-0.0816;0.7592;0.7399;0.5050;0.3917;0.1934;1.0000;0.1123;1.0000;ctx_14;inner_ctx_6
1767385800000000;35;32;hold;stressed_block;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1582;0.1781;0.0247;0.6413;0.3122;0.6396;-0.4803;0.6784;0.6385;0.5123;0.4006;0.1739;1.0000;0.1127;1.0000;ctx_21;inner_ctx_6
1767386100000000;36;33;observe;zero_point_regulation;SHORT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1526;0.1745;0.0253;0.6698;0.2582;0.6586;0.3365;0.7326;0.7114;0.6173;0.4785;0.1888;1.0000;0.1148;1.0000;ctx_21;inner_ctx_6
1767386400000000;37;34;observe;zero_point_regulation;SHORT;fragmented_perception_field;0.0000;0.1270;0.0000;0.0000;0.0000;0.2948;0.0000;0.4560;0.4937;0.0000;0.6412;0.3305;0.6419;0.7314;0.7430;0.6974;0.6791;0.5244;0.2341;1.0000;0.1623;1.0000;ctx_4;inner_ctx_6
1767386700000000;38;35;observe;zero_point_regulation;SHORT;active_perception_field;0.0000;0.2448;0.0000;0.0000;0.0000;0.3334;0.3270;0.2668;0.2432;0.1836;0.6575;0.3015;0.6530;0.9563;0.7016;0.6621;0.8015;0.6216;0.2847;1.0000;0.1047;1.0000;ctx_9;inner_ctx_3
1767387000000000;39;36;observe;structure_development_observe;SHORT;active_perception_field;0.0000;0.2417;0.0000;0.0000;0.0000;0.3457;0.3257;0.2775;0.2513;0.1732;0.6331;0.3404;0.6336;1.3156;0.6767;0.6277;0.9039;0.7492;0.3424;1.0000;0.1069;1.0000;ctx_17;inner_ctx_1
1767387300000000;40;37;observe;zero_point_regulation;WAIT;quiet_field;0.0000;0.1000;0.0000;0.0000;0.0000;0.0000;0.0000;0.1544;0.1746;0.0209;0.5971;0.3972;0.6071;-1.0498;0.5735;0.5088;0.6531;0.5725;0.2707;1.0000;0.0871;1.0000;ctx_6;inner_ctx_1
