section;elapsed_ms;extra
__profile_config__;0.0000;profile_debug=True|profile_min_ms=0.05|profile_every_n=10|snapshot_every_n=25|snapshot_force_on_state_change=False|memory_save_cooldown=5.0
step_mcm_brain.cluster_detect_pre_memory;4.2823;clusters=1|agents=230
mcm_field.step.sync_neurons;1.4806;agents=230|dims=3
step_mcm_brain.cluster_detect_snapshot;3.4083;clusters=1|agents=230
mcm_field.step.activity_diffusion;11.7809;agents=230|neighbors=8
apply_runtime_result.refresh_active_context_trace;0.1041;active=0.9037
step_mcm_brain.primary_field_step;68.8286;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9452;agents=230|neighbors=8
compute_runtime_result.total;79.4543;decision_tendency=hold|active_trade=False
mcm_field.step.field_perception_state;1.2366;agents=230
apply_runtime_result.total;3.0807;decision_tendency=observe|runtime_tick_seq=6
step_mcm_brain.cluster_detect_snapshot;3.6484;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.0355;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.8634;decision_tendency=act
apply_runtime_result.refresh_experience_space;2.5272;decision_tendency=hold
apply_runtime_result.total;3.0987;decision_tendency=hold|runtime_tick_seq=12
step_mcm_brain.cluster_detect_snapshot;2.6211;clusters=1|agents=230
mcm_field.step.total;70.9153;agents=230|dims=3
mcm_field.step.sync_neurons;1.3895;agents=230|dims=3
step_mcm_brain.snapshot_field_read;28.5504;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4514;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1049;active=0.8898
step_mcm_brain.cluster_detect_pre_memory;0.0566;clusters=1|agents=230
mcm_field.step.sync_neurons;1.3798;agents=230|dims=3
step_mcm_brain.snapshot_field_read;16.1710;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.5464;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1109;active=0.9119
step_mcm_brain.primary_field_step;69.0663;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;1.9267;agents=230|neighbors=8
step_mcm_brain.total;91.1853;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;19.1337;agents=230|every_n=2
apply_runtime_result.refresh_active_context_trace;0.1120;active=0.9040
step_mcm_brain.cluster_detect_pre_memory;0.0515;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;2.0029;agents=230|neighbors=8
step_mcm_brain.snapshot_field_read;15.6201;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.4889;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1104;active=0.8960
step_mcm_brain.primary_field_step;71.3995;agents=230|dims=3
write_runtime_snapshot_payload.total;24.5834;kind=inner|keys=41|path=debug\debug_lauf_15\bot_inner_snapshot.json
step_mcm_brain.cluster_detect_pre_memory;0.0579;clusters=1|agents=230
mcm_field.step.build_neighbor_state_map;1.9915;agents=230|neighbors=8
step_mcm_brain.total;91.7663;mode=market|clusters=1|agents=230
mcm_field.step.field_perception_state;0.3107;agents=230
apply_runtime_result.total;3.3170;decision_tendency=observe|runtime_tick_seq=28
step_mcm_brain.cluster_detect_snapshot;3.5641;clusters=1|agents=230
mcm_field.step.activity_diffusion;12.1658;agents=230|neighbors=8
apply_runtime_result.refresh_experience_space;2.9201;decision_tendency=hold
mcm_field.step.total;68.9947;agents=230|dims=3
mcm_field.step.sync_neurons;1.3531;agents=230|dims=3
step_mcm_brain.total;78.7292;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;18.1176;agents=230|every_n=2
compute_runtime_result.total;108.0507;decision_tendency=hold|active_trade=False
mcm_field.step.total;63.5702;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.2041;active=0.9082
step_mcm_brain.primary_field_step;72.4803;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0108;agents=230|neighbors=8
step_mcm_brain.total;80.9747;mode=market|clusters=1|agents=230
mcm_field.step.refresh_areal_state;18.1660;agents=230|every_n=2
compute_runtime_result.total;106.3584;decision_tendency=observe|active_trade=False
mcm_field.step.total;55.7309;agents=230|dims=3
mcm_field.step.sync_neurons;1.3778;agents=230|dims=3
step_mcm_brain.snapshot_field_read;18.4668;neurons=230|areals=1
mcm_field.step.refresh_arrays;0.6790;agents=230|dims=3
apply_runtime_result.refresh_active_context_trace;0.1081;active=0.9325
step_mcm_brain.primary_field_step;75.0766;agents=230|dims=3
mcm_field.step.build_neighbor_state_map;2.0580;agents=230|neighbors=8
step_mcm_brain.cluster_detect_snapshot;4.7945;clusters=1|agents=230
mcm_field.step.activity_diffusion;14.6619;agents=230|neighbors=8
compute_runtime_result.total;108.9271;decision_tendency=hold|active_trade=False
mcm_field.step.total;55.5737;agents=230|dims=3
mcm_field.step.sync_neurons;1.3804;agents=230|dims=3
step_mcm_brain.snapshot_field_read;20.8716;neurons=230|areals=1
