MCM_DECISION | long_score=1.5875 short_score=-2.5973 memory_center=-2.3607 memory_strength=18 self_state=active attractor=defense felt_bearing_score=0.5963 felt_profile_label=recovering best_score=1.5875 reject_reason=-
MCM_DECISION | long_score=0.4156 short_score=-1.3169 memory_center=-2.1668 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.5670 felt_profile_label=recovering best_score=0.4156 reject_reason=-
MCM_DECISION | long_score=-2.7670 short_score=1.2022 memory_center=0.2153 memory_strength=36 self_state=stressed attractor=cooperate felt_bearing_score=0.6223 felt_profile_label=recovering best_score=1.2022 reject_reason=-
MCM_DECISION | long_score=-0.5901 short_score=-1.0491 memory_center=-1.0977 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.5662 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.3067 short_score=0.0202 memory_center=2.0902 memory_strength=34 self_state=stressed attractor=explore felt_bearing_score=0.5847 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.7498 short_score=0.5107 memory_center=-0.2830 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.5998 felt_profile_label=mixed_unclear best_score=0.5107 reject_reason=-
MCM_DECISION | long_score=-2.9850 short_score=1.0813 memory_center=-1.3694 memory_strength=41 self_state=stressed attractor=defense felt_bearing_score=0.5945 felt_profile_label=recovering best_score=1.0813 reject_reason=-
MCM_DECISION | long_score=0.8175 short_score=-2.5555 memory_center=-2.4752 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.5900 felt_profile_label=mixed_unclear best_score=0.8175 reject_reason=-
MCM_DECISION | long_score=0.4501 short_score=-1.3856 memory_center=1.1430 memory_strength=15 self_state=stressed attractor=cooperate felt_bearing_score=0.6009 felt_profile_label=mixed_unclear best_score=0.4501 reject_reason=-
MCM_DECISION | long_score=-1.4282 short_score=-0.3056 memory_center=-1.4121 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6172 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.5598 short_score=-1.8284 memory_center=-1.3119 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.5930 felt_profile_label=mixed_unclear best_score=0.5598 reject_reason=-
MCM_DECISION | long_score=0.4430 short_score=-2.1923 memory_center=1.2820 memory_strength=42 self_state=stressed attractor=neutral felt_bearing_score=0.6247 felt_profile_label=mixed_unclear best_score=0.4430 reject_reason=-
MCM_DECISION | long_score=-1.2171 short_score=-0.3971 memory_center=1.3935 memory_strength=38 self_state=stressed attractor=neutral felt_bearing_score=0.5809 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.2262 short_score=0.0181 memory_center=1.3352 memory_strength=26 self_state=stressed attractor=neutral felt_bearing_score=0.5794 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.7400 short_score=-2.1523 memory_center=-2.4618 memory_strength=40 self_state=stressed attractor=defense felt_bearing_score=0.5907 felt_profile_label=recovering best_score=0.7400 reject_reason=-
MCM_DECISION | long_score=-2.4886 short_score=0.9094 memory_center=0.2450 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.5855 felt_profile_label=mixed_unclear best_score=0.9094 reject_reason=-
MCM_DECISION | long_score=-0.6846 short_score=-1.1309 memory_center=-2.3683 memory_strength=45 self_state=stressed attractor=defense felt_bearing_score=0.6123 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-0.4842 short_score=-1.2684 memory_center=-2.3608 memory_strength=44 self_state=stressed attractor=defense felt_bearing_score=0.6078 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.7889 short_score=-2.3617 memory_center=-1.5231 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.6201 felt_profile_label=mixed_unclear best_score=0.7889 reject_reason=-
MCM_DECISION | long_score=-2.3789 short_score=0.9744 memory_center=-0.2791 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.6045 felt_profile_label=mixed_unclear best_score=0.9744 reject_reason=-
MCM_DECISION | long_score=-1.7994 short_score=0.5532 memory_center=2.3759 memory_strength=23 self_state=stressed attractor=explore felt_bearing_score=0.6036 felt_profile_label=mixed_unclear best_score=0.5532 reject_reason=-
MCM_DECISION | long_score=-1.2105 short_score=-0.5580 memory_center=-1.2319 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.3776 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.6825 short_score=0.9854 memory_center=-2.4483 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.5805 felt_profile_label=mixed_unclear best_score=0.9854 reject_reason=-
MCM_DECISION | long_score=-0.9190 short_score=-0.8420 memory_center=-2.4369 memory_strength=36 self_state=stressed attractor=defense felt_bearing_score=0.6116 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.9663 short_score=-2.4948 memory_center=-2.4646 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.6236 felt_profile_label=mixed_unclear best_score=0.9663 reject_reason=-
MCM_DECISION | long_score=-0.0805 short_score=-1.3090 memory_center=0.0943 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.5932 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=1.1365 short_score=-2.9136 memory_center=2.2591 memory_strength=35 self_state=stressed attractor=explore felt_bearing_score=0.3717 felt_profile_label=mixed_unclear best_score=1.1365 reject_reason=-
MCM_DECISION | long_score=0.7637 short_score=-2.4600 memory_center=0.7296 memory_strength=32 self_state=stressed attractor=cooperate felt_bearing_score=0.5949 felt_profile_label=mixed_unclear best_score=0.7637 reject_reason=-
MCM_DECISION | long_score=-2.5405 short_score=0.9090 memory_center=-0.7270 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.5951 felt_profile_label=mixed_unclear best_score=0.9090 reject_reason=-
MCM_DECISION | long_score=-0.7600 short_score=-0.3677 memory_center=-0.1393 memory_strength=18 self_state=stressed attractor=cooperate felt_bearing_score=0.6098 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.8320 short_score=-2.2764 memory_center=0.3937 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.6060 felt_profile_label=mixed_unclear best_score=0.8320 reject_reason=-
MCM_DECISION | long_score=-2.2067 short_score=0.3971 memory_center=0.1140 memory_strength=47 self_state=stressed attractor=cooperate felt_bearing_score=0.5853 felt_profile_label=mixed_unclear best_score=0.3971 reject_reason=-
MCM_DECISION | long_score=0.0044 short_score=-1.2279 memory_center=0.1739 memory_strength=19 self_state=stressed attractor=cooperate felt_bearing_score=0.5921 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.0221 short_score=-1.5662 memory_center=-2.2239 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.5890 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.8130 short_score=1.1727 memory_center=-2.1387 memory_strength=18 self_state=stressed attractor=defense felt_bearing_score=0.6005 felt_profile_label=mixed_unclear best_score=1.1727 reject_reason=-
MCM_DECISION | long_score=-1.8932 short_score=0.4343 memory_center=-1.0877 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6081 felt_profile_label=mixed_unclear best_score=0.4343 reject_reason=-
MCM_DECISION | long_score=-0.7692 short_score=-0.3691 memory_center=-0.2303 memory_strength=22 self_state=stressed attractor=cooperate felt_bearing_score=0.6125 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.3487 short_score=-1.8996 memory_center=2.2055 memory_strength=39 self_state=stressed attractor=explore felt_bearing_score=0.3883 felt_profile_label=recovering best_score=0.3487 reject_reason=-
MCM_DECISION | long_score=1.2775 short_score=-2.9953 memory_center=2.3711 memory_strength=31 self_state=stressed attractor=explore felt_bearing_score=0.6114 felt_profile_label=mixed_unclear best_score=1.2775 reject_reason=-
MCM_DECISION | long_score=-1.9626 short_score=0.5847 memory_center=1.6116 memory_strength=28 self_state=stressed attractor=explore felt_bearing_score=0.6093 felt_profile_label=mixed_unclear best_score=0.5847 reject_reason=-
MCM_DECISION | long_score=-1.1231 short_score=-0.0420 memory_center=1.4945 memory_strength=17 self_state=stressed attractor=neutral felt_bearing_score=0.6164 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.7275 short_score=0.2993 memory_center=0.1923 memory_strength=25 self_state=stressed attractor=cooperate felt_bearing_score=0.6028 felt_profile_label=mixed_unclear best_score=0.2993 reject_reason=-
MCM_DECISION | long_score=-1.3465 short_score=-0.3402 memory_center=-2.4022 memory_strength=21 self_state=stressed attractor=defense felt_bearing_score=0.6104 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5199 short_score=-1.6196 memory_center=-2.1348 memory_strength=19 self_state=stressed attractor=defense felt_bearing_score=0.5787 felt_profile_label=mixed_unclear best_score=0.5199 reject_reason=-
MCM_DECISION | long_score=0.5087 short_score=-2.1998 memory_center=-2.2553 memory_strength=36 self_state=stressed attractor=defense felt_bearing_score=0.6108 felt_profile_label=mixed_unclear best_score=0.5087 reject_reason=-
MCM_DECISION | long_score=-0.1149 short_score=-1.3589 memory_center=-2.3586 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.5991 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.4947 short_score=-1.3041 memory_center=2.1778 memory_strength=36 self_state=stressed attractor=explore felt_bearing_score=0.6101 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.7597 short_score=0.1258 memory_center=-1.4540 memory_strength=21 self_state=stressed attractor=defense felt_bearing_score=0.6070 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.7871 short_score=1.1689 memory_center=-0.7030 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.6058 felt_profile_label=mixed_unclear best_score=1.1689 reject_reason=-
MCM_DECISION | long_score=0.3895 short_score=-1.8982 memory_center=-0.8961 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6198 felt_profile_label=mixed_unclear best_score=0.3895 reject_reason=-
MCM_DECISION | long_score=-3.1462 short_score=1.0368 memory_center=-2.4811 memory_strength=36 self_state=stressed attractor=defense felt_bearing_score=0.6158 felt_profile_label=mixed_unclear best_score=1.0368 reject_reason=-
MCM_DECISION | long_score=-0.6955 short_score=-1.0853 memory_center=-2.2775 memory_strength=34 self_state=stressed attractor=defense felt_bearing_score=0.6303 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.7503 short_score=-0.7785 memory_center=-2.4503 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.6261 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5453 short_score=-1.7220 memory_center=1.3574 memory_strength=21 self_state=stressed attractor=neutral felt_bearing_score=0.6114 felt_profile_label=mixed_unclear best_score=0.5453 reject_reason=-
MCM_DECISION | long_score=1.3869 short_score=-3.2172 memory_center=1.1276 memory_strength=35 self_state=stressed attractor=cooperate felt_bearing_score=0.5863 felt_profile_label=mixed_unclear best_score=1.3869 reject_reason=-
MCM_DECISION | long_score=-1.0424 short_score=-0.1139 memory_center=1.3020 memory_strength=34 self_state=stressed attractor=neutral felt_bearing_score=0.3806 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.4894 short_score=-0.7184 memory_center=0.7318 memory_strength=28 self_state=stressed attractor=cooperate felt_bearing_score=0.3780 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-1.7790 short_score=0.1352 memory_center=-2.3988 memory_strength=30 self_state=stressed attractor=defense felt_bearing_score=0.5998 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.8053 short_score=-2.1713 memory_center=-0.5038 memory_strength=23 self_state=stressed attractor=defense felt_bearing_score=0.6238 felt_profile_label=mixed_unclear best_score=0.8053 reject_reason=-
MCM_DECISION | long_score=0.0230 short_score=-1.4616 memory_center=-1.2683 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.6017 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-3.0355 short_score=1.0450 memory_center=-1.3863 memory_strength=42 self_state=stressed attractor=defense felt_bearing_score=0.6128 felt_profile_label=mixed_unclear best_score=1.0450 reject_reason=-
