MCM_DECISION | long_score=-0.6695 short_score=0.1944 memory_center=-2.3527 memory_strength=17 self_state=stable attractor=defense felt_bearing_score=0.3008 felt_profile_label=recovering best_score=0.0000 reject_reason=defense_block
MCM_DECISION | long_score=0.7411 short_score=-1.9415 memory_center=-1.1284 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.5236 felt_profile_label=recovering best_score=0.7411 reject_reason=-
MCM_DECISION | long_score=-3.4886 short_score=1.2810 memory_center=-2.4556 memory_strength=49 self_state=stressed attractor=defense felt_bearing_score=0.5743 felt_profile_label=mixed_unclear best_score=1.2810 reject_reason=-
MCM_DECISION | long_score=-0.6761 short_score=-0.9566 memory_center=-1.5990 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.6055 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.2905 short_score=0.1675 memory_center=1.4633 memory_strength=31 self_state=stressed attractor=neutral felt_bearing_score=0.6005 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.9131 short_score=0.4688 memory_center=-0.4746 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.3837 felt_profile_label=mixed_unclear best_score=0.4688 reject_reason=-
MCM_DECISION | long_score=-2.9956 short_score=1.0824 memory_center=-1.3841 memory_strength=41 self_state=stressed attractor=defense felt_bearing_score=0.6071 felt_profile_label=recovering best_score=1.0824 reject_reason=-
MCM_DECISION | long_score=0.7932 short_score=-2.5784 memory_center=-2.4815 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.6132 felt_profile_label=mixed_unclear best_score=0.7932 reject_reason=-
MCM_DECISION | long_score=0.3860 short_score=-1.3333 memory_center=0.3840 memory_strength=16 self_state=stressed attractor=cooperate felt_bearing_score=0.6064 felt_profile_label=mixed_unclear best_score=0.3860 reject_reason=-
MCM_DECISION | long_score=-1.4322 short_score=-0.3114 memory_center=-1.3842 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6072 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.6563 short_score=-1.7415 memory_center=-1.2458 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.6164 felt_profile_label=recovering best_score=0.6563 reject_reason=-
MCM_DECISION | long_score=-0.6205 short_score=-0.7249 memory_center=1.3206 memory_strength=25 self_state=stressed attractor=neutral felt_bearing_score=0.5717 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.6014 short_score=-1.6981 memory_center=-1.3190 memory_strength=21 self_state=stressed attractor=defense felt_bearing_score=0.6137 felt_profile_label=mixed_unclear best_score=0.6014 reject_reason=-
