MCM_STATE | mode=market impulse=1.2094 motivation=0.3009 risk=-0.1331 replay=-0.0056 self_state=active attractor=analysis mean_energy=2.7346 mean_motivation=0.6859 mean_risk=-1.1340 mean_velocity=0.5613 clusters=1 memory_center=-0.9711 memory_strength=16
MCM_STATE | mode=market impulse=0.9867 motivation=0.2163 risk=-0.0920 replay=0.0080 self_state=stressed attractor=defense mean_energy=-0.7078 mean_motivation=0.1823 mean_risk=-1.6487 mean_velocity=0.2047 clusters=1 memory_center=-2.1470 memory_strength=24
MCM_STATE | mode=market impulse=-1.6121 motivation=-0.0679 risk=-0.3952 replay=-0.0170 self_state=stressed attractor=neutral mean_energy=-1.4851 mean_motivation=-0.0872 mean_risk=-1.9705 mean_velocity=0.5996 clusters=1 memory_center=1.2807 memory_strength=32
MCM_STATE | mode=market impulse=0.2300 motivation=0.0078 risk=-0.1180 replay=-0.0056 self_state=stressed attractor=defense mean_energy=1.6790 mean_motivation=0.1756 mean_risk=-1.7550 mean_velocity=0.3261 clusters=1 memory_center=-0.8929 memory_strength=28
MCM_STATE | mode=market impulse=-1.0006 motivation=-0.0926 risk=-0.2499 replay=0.0235 self_state=stressed attractor=explore mean_energy=0.8773 mean_motivation=0.1271 mean_risk=-1.9993 mean_velocity=0.1692 clusters=1 memory_center=2.0874 memory_strength=34
MCM_STATE | mode=market impulse=-0.6953 motivation=-0.0639 risk=-0.1166 replay=-0.0258 self_state=stressed attractor=defense mean_energy=-1.2139 mean_motivation=-0.0807 mean_risk=-1.9061 mean_velocity=0.3996 clusters=1 memory_center=-0.3851 memory_strength=29
MCM_STATE | mode=market impulse=-0.8581 motivation=-0.1426 risk=-0.2394 replay=0.0291 self_state=stressed attractor=defense mean_energy=-2.3110 mean_motivation=-0.1210 mean_risk=-2.0857 mean_velocity=0.4946 clusters=1 memory_center=-1.3402 memory_strength=37
MCM_STATE | mode=market impulse=1.2451 motivation=0.2603 risk=-0.1422 replay=0.0075 self_state=stressed attractor=defense mean_energy=2.3979 mean_motivation=0.2962 mean_risk=-2.0245 mean_velocity=0.5790 clusters=1 memory_center=-2.4452 memory_strength=26
MCM_STATE | mode=market impulse=0.4920 motivation=0.1413 risk=-0.0602 replay=-0.0042 self_state=stressed attractor=cooperate mean_energy=-0.6879 mean_motivation=0.0693 mean_risk=-1.7856 mean_velocity=0.1870 clusters=1 memory_center=1.1793 memory_strength=15
MCM_STATE | mode=market impulse=-0.1018 motivation=-0.0326 risk=-0.0786 replay=-0.0282 self_state=stressed attractor=defense mean_energy=-1.5065 mean_motivation=-0.0693 mean_risk=-1.8751 mean_velocity=0.2493 clusters=1 memory_center=-1.1411 memory_strength=20
MCM_STATE | mode=market impulse=1.0979 motivation=0.2463 risk=-0.1058 replay=0.0131 self_state=stressed attractor=defense mean_energy=-0.8240 mean_motivation=0.0561 mean_risk=-1.9436 mean_velocity=0.1983 clusters=1 memory_center=-2.3256 memory_strength=25
