TARGET_EXPECTATION ts=1767401400000000 label=target_expectation_holds side=LONG entry=132.7661 close=132.8000 tp=134.2222 tp_reachability=0.5776 target_path_integrity=0.6520 expectation_deviation=0.2323 expectation_break_pressure=0.2366 expectation_hold_support=0.6137 target_room_pressure=0.5712 target_semantic_confidence=0.6448 target_progress=0.0233 target_remaining_r=4.4127 target_recovery_potential=0.6180 target_recovery_momentum=0.1911 target_recovery_confirmation=0.4625 break_to_recovery_delta=0.4750 current_route_familiarity=0.3064 current_semantic_shift_pressure=0.3027 current_transfer_bearing=0.2848 semantic_transfer_stress=0.4098 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5833 expectation_break_persistence=0.1807 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767480000000000 label=target_pullback_observe side=LONG entry=132.7539 close=133.1100 tp=134.2265 tp_reachability=0.5068 target_path_integrity=0.6567 expectation_deviation=0.4240 expectation_break_pressure=0.3887 expectation_hold_support=0.5745 target_room_pressure=0.5596 target_semantic_confidence=0.5941 target_progress=0.2418 target_remaining_r=3.4685 target_recovery_potential=0.7442 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3791 break_to_recovery_delta=0.3662 current_route_familiarity=0.3334 current_semantic_shift_pressure=0.2380 current_transfer_bearing=0.3628 semantic_transfer_stress=0.3595 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6857 expectation_break_persistence=0.2458 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767482700000000 label=target_expectation_holds side=LONG entry=132.7539 close=133.6500 tp=134.2265 tp_reachability=0.6955 target_path_integrity=0.7636 expectation_deviation=0.2470 expectation_break_pressure=0.2324 expectation_hold_support=0.7284 target_room_pressure=0.3334 target_semantic_confidence=0.6752 target_progress=0.6085 target_remaining_r=1.7910 target_recovery_potential=0.7962 target_recovery_momentum=0.0584 target_recovery_confirmation=0.4545 break_to_recovery_delta=0.4680 current_route_familiarity=0.3334 current_semantic_shift_pressure=0.2380 current_transfer_bearing=0.3628 semantic_transfer_stress=0.3595 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7403 expectation_break_persistence=0.1489 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767485100000000 label=target_expectation_holds side=LONG entry=132.7539 close=134.3500 tp=134.2265 tp_reachability=0.6817 target_path_integrity=0.7506 expectation_deviation=0.3288 expectation_break_pressure=0.2892 expectation_hold_support=0.7040 target_room_pressure=0.2387 target_semantic_confidence=0.6681 target_progress=1.0000 target_remaining_r=0.0000 target_recovery_potential=0.8063 target_recovery_momentum=0.2000 target_recovery_confirmation=0.5118 break_to_recovery_delta=0.5089 current_route_familiarity=0.3334 current_semantic_shift_pressure=0.2380 current_transfer_bearing=0.3628 semantic_transfer_stress=0.3595 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.7556 expectation_break_persistence=0.1705 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767701100000000 label=target_expectation_holds side=LONG entry=138.8596 close=139.2900 tp=140.3301 tp_reachability=0.5945 target_path_integrity=0.6780 expectation_deviation=0.3056 expectation_break_pressure=0.2890 expectation_hold_support=0.6335 target_room_pressure=0.4798 target_semantic_confidence=0.6058 target_progress=0.2927 target_remaining_r=2.9921 target_recovery_potential=0.7421 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3941 break_to_recovery_delta=0.3967 current_route_familiarity=0.3452 current_semantic_shift_pressure=0.1118 current_transfer_bearing=0.4016 semantic_transfer_stress=0.2953 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6938 expectation_break_persistence=0.1935 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767705300000000 label=target_pullback_observe side=LONG entry=138.8596 close=139.1400 tp=140.3301 tp_reachability=0.5343 target_path_integrity=0.6252 expectation_deviation=0.3721 expectation_break_pressure=0.3475 expectation_hold_support=0.5727 target_room_pressure=0.5826 target_semantic_confidence=0.5986 target_progress=0.1907 target_remaining_r=3.4236 target_recovery_potential=0.7374 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3801 break_to_recovery_delta=0.3663 current_route_familiarity=0.3452 current_semantic_shift_pressure=0.1118 current_transfer_bearing=0.4016 semantic_transfer_stress=0.2953 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6869 expectation_break_persistence=0.2314 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767713400000000 label=target_expectation_holds side=LONG entry=142.7819 close=142.9500 tp=144.3630 tp_reachability=0.5948 target_path_integrity=0.6507 expectation_deviation=0.2577 expectation_break_pressure=0.2537 expectation_hold_support=0.6165 target_room_pressure=0.5310 target_semantic_confidence=0.6484 target_progress=0.1063 target_remaining_r=2.7384 target_recovery_potential=0.3169 target_recovery_momentum=0.0000 target_recovery_confirmation=0.3228 break_to_recovery_delta=0.3968 current_route_familiarity=0.3562 current_semantic_shift_pressure=0.2883 current_transfer_bearing=0.3284 semantic_transfer_stress=0.3853 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.0000 expectation_break_persistence=0.1850 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767781800000000 label=target_expectation_holds side=LONG entry=137.0519 close=137.6000 tp=138.4774 tp_reachability=0.6477 target_path_integrity=0.7140 expectation_deviation=0.2059 expectation_break_pressure=0.2279 expectation_hold_support=0.6924 target_room_pressure=0.3705 target_semantic_confidence=0.5822 target_progress=0.3845 target_remaining_r=2.6367 target_recovery_potential=0.7236 target_recovery_momentum=0.3638 target_recovery_confirmation=0.5615 break_to_recovery_delta=0.5672 current_route_familiarity=0.3080 current_semantic_shift_pressure=0.2009 current_transfer_bearing=0.3333 semantic_transfer_stress=0.3551 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6448 expectation_break_persistence=0.1509 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767784200000000 label=target_expectation_holds side=LONG entry=137.0519 close=138.0400 tp=138.4774 tp_reachability=0.5847 target_path_integrity=0.6100 expectation_deviation=0.2812 expectation_break_pressure=0.3086 expectation_hold_support=0.6081 target_room_pressure=0.3101 target_semantic_confidence=0.4599 target_progress=0.6932 target_remaining_r=1.3144 target_recovery_potential=0.6763 target_recovery_momentum=0.0541 target_recovery_confirmation=0.3840 break_to_recovery_delta=0.3867 current_route_familiarity=0.3080 current_semantic_shift_pressure=0.2009 current_transfer_bearing=0.3333 semantic_transfer_stress=0.3551 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6127 expectation_break_persistence=0.1891 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767786600000000 label=target_expectation_holds side=LONG entry=137.0519 close=137.9700 tp=138.4774 tp_reachability=0.5921 target_path_integrity=0.6561 expectation_deviation=0.3049 expectation_break_pressure=0.3197 expectation_hold_support=0.6297 target_room_pressure=0.3693 target_semantic_confidence=0.5219 target_progress=0.6441 target_remaining_r=1.5248 target_recovery_potential=0.7000 target_recovery_momentum=0.2741 target_recovery_confirmation=0.4956 break_to_recovery_delta=0.4907 current_route_familiarity=0.3080 current_semantic_shift_pressure=0.2009 current_transfer_bearing=0.3333 semantic_transfer_stress=0.3551 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.6073 expectation_break_persistence=0.1947 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
TARGET_EXPECTATION ts=1767789300000000 label=target_expectation_holds side=LONG entry=137.0519 close=137.7900 tp=138.4774 tp_reachability=0.5715 target_path_integrity=0.6019 expectation_deviation=0.3607 expectation_break_pressure=0.3490 expectation_hold_support=0.5985 target_room_pressure=0.4553 target_semantic_confidence=0.5210 target_progress=0.5178 target_remaining_r=2.0657 target_recovery_potential=0.6524 target_recovery_momentum=0.3133 target_recovery_confirmation=0.4962 break_to_recovery_delta=0.4862 current_route_familiarity=0.3080 current_semantic_shift_pressure=0.2009 current_transfer_bearing=0.3333 semantic_transfer_stress=0.3551 current_adaptation_phase=interpretation_watch prior_target_hold_support=0.5565 expectation_break_persistence=0.2186 deep_pullback_recovery_watch=0 recovery_after_break_watch=0
