timestamp;runtime_tick;sequence;phase;reason;decision;form_symbol_id;form_symbol_family_key;form_symbol_variant_key;form_symbol_scope;form_symbol_abstraction_level;form_symbol_resolution_quality;form_symbol_detail_pressure;form_symbol_object_distance;form_symbol_containment;form_symbol_field_decoupling;form_symbol_development_quality;form_symbol_action_affinity;form_symbol_observation_affinity;form_symbol_reframe_potential;form_symbol_action_binding;form_symbol_observation_binding;form_symbol_reframe_binding;form_symbol_memory_loaded;form_symbol_memory_symbol_count;form_symbol_seen;form_symbol_maturity;form_symbol_stability;form_symbol_resonance;form_symbol_load_reduction;form_symbol_zoom_need;form_symbol_split_pressure;form_symbol_merge_pressure;form_symbol_bearing;form_symbol_fragility;form_symbol_relevance;form_symbol_novelty;form_symbol_distance;form_symbol_compound_id;form_symbol_compound_scope;form_symbol_compound_seen;form_symbol_compound_maturity;form_symbol_compound_stability;form_symbol_compound_resonance;form_symbol_compound_bearing;form_symbol_compound_load_reduction;form_symbol_compound_novelty;form_symbol_compound_development_quality;form_symbol_compound_action_affinity;form_symbol_compound_observation_affinity;form_symbol_compound_reframe_potential;form_symbol_memory_compound_count;structure_quality;context_confidence;field_clarity;field_pressure;field_fragmentation
1767375300000000;0;1;hold;context_cluster_negative;WAIT;fs_c0a6cc6e8e;1|0.00|0.55|0.00|0.00|0.50|0.50|0.00;0.20|0.20|0.40|-0.20|0.40|0.20|0.00|0.20|0.80|0.80|0.20|0.60|0.60|0.40|0.60|0.60|0.00|0.00|0.00;wide_form;1;0.5272;0.2462;0.2104;0.3459;0.2530;-0.1196;0.4865;0.0647;0.0495;0.3804;0.0878;0.0297;1;327;1145;0.9931;0.6036;0.5156;0.3477;0.1985;0.1221;0.6125;0.5629;0.3406;0.2495;0.1468;0.1398;-;single;0;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.5000;0.0000;0.0000;768;0.6178;0.6199;0.1000;0.0000;0.0000
1767375600000000;1;2;observe;structure_bearing_observe;LONG;fs_eb420e0673;1|0.00|0.55|0.00|0.55|0.50|0.50|0.00;0.40|0.20|0.40|-0.20|0.60|0.40|0.00|0.40|0.60|0.60|0.20|0.40|0.60|0.60|0.60|0.60|0.00|0.00|0.00;wide_form;1;0.5181;0.2756;0.2382;0.3638;0.2734;-0.0377;0.4997;0.0175;0.0195;0.4950;0.0544;0.0117;1;327;812;0.9902;0.6581;0.5418;0.3696;0.2096;0.1072;0.6319;0.5596;0.3116;0.2686;0.1784;0.1686;fc_ab7d420457;compound_form;106;0.8908;0.7565;0.4992;0.5960;0.4139;0.1099;0.0000;0.5000;0.0000;0.0000;768;0.6350;0.6411;0.1000;0.0000;0.0000
1767375900000000;2;3;hold;context_cluster_negative;WAIT;fs_d278415036;1|0.00|0.00|0.00|-0.55|0.50|0.50|0.00;0.00|-0.20|0.20|-0.60|0.40|0.00|0.40|0.60|0.40|0.60|0.40|0.60|0.60|0.40|0.60|0.60|0.20|0.40|0.00;wide_form;1;0.4793;0.3532;0.2107;0.3240;0.2407;-0.0816;0.4942;0.0406;0.0523;0.4395;0.0701;0.0359;1;327;800;0.9901;0.6270;0.4835;0.3105;0.2451;0.1271;0.5972;0.5234;0.2975;0.3266;0.2311;0.2212;fc_3a748063b2;compound_form;13;0.5000;0.7409;0.2711;0.5465;0.1895;0.5072;-0.0381;0.4984;0.0273;0.0345;768;0.5631;0.5524;0.2650;0.3005;0.0000
1767376200000000;3;4;hold;context_cluster_negative;WAIT;fs_c0a6cc6e8e;1|0.00|0.55|0.00|0.00|0.50|0.50|0.00;0.20|-0.20|0.20|-0.40|0.20|0.00|0.00|0.60|0.40|0.60|0.20|0.60|0.60|0.40|0.60|0.60|0.00|0.00|0.00;wide_form;1;0.5241;0.2783;0.2246;0.3496;0.2663;-0.1196;0.4865;0.0647;0.0495;0.4665;0.0748;0.0297;1;327;1146;0.9931;0.6030;0.4982;0.3376;0.1945;0.1122;0.6031;0.5572;0.2475;0.2637;0.1750;0.1680;fc_ea99d6d395;compound_form;34;0.7234;0.7439;0.3874;0.5629;0.2978;0.2834;0.0000;0.5000;0.0000;0.0000;768;0.6147;0.6161;0.1000;0.0000;0.0000
1767376500000000;4;5;act;plan_allowed;LONG;fs_9ea25ff2d0;2|0.00|0.40|0.00|0.40|0.40|0.70|0.70|0.00;0.20|0.20|0.40|0.00|0.40|0.20|0.00|0.80|0.20|0.80|0.40|0.80|0.60|0.60|0.60|0.60|0.20|0.20|0.00;structured_form;2;0.6163;0.2696;0.2885;0.3974;0.3111;-0.0834;0.4974;0.0415;0.0573;0.4672;0.0546;0.0344;1;327;190;0.9596;0.6709;0.5402;0.3787;0.1928;0.0897;0.6228;0.6613;0.2063;0.2762;0.2013;0.1609;fc_6279479085;compound_form;16;0.5517;0.7308;0.2966;0.5878;0.2115;0.4691;0.0000;0.5000;0.0000;0.0000;768;0.6584;0.6701;0.1529;0.2449;0.0000
1767379200000000;13;6;hold;pause_mode;SHORT;fs_86568b7d2d;1|0.00|-0.55|0.00|0.00|0.50|0.50|0.00;-0.40|-0.20|-0.40|-0.40|0.00|0.20|0.00|0.60|0.40|0.80|0.20|0.80|0.60|0.40|0.60|0.60|0.20|0.20|0.00;wide_form;1;0.5750;0.3128;0.2500;0.3668;0.2794;0.0000;0.5000;0.0000;0.0000;0.4046;0.0383;0.0000;1;327;1245;0.9936;0.6267;0.5373;0.3636;0.2046;0.1019;0.6268;0.6143;0.2737;0.3130;0.1435;0.1371;fc_ba9008fa1d;compound_form;1;0.0714;0.2251;0.0120;0.4461;0.0055;0.9380;0.0000;0.5000;0.0000;0.0000;769;0.5998;0.5991;0.2660;0.2977;0.0000
1767379500000000;14;7;observe;zero_point_regulation;SHORT;fs_29e0ce7e0c;1|-0.55|-1.10|-0.55|-0.55|0.50|0.50|0.00;-0.80|-0.60|-0.80|-0.80|-0.20|0.00|0.40|0.60|0.40|0.60|0.40|0.60|0.60|0.20|0.60|0.60|0.20|0.40|0.00;wide_form;1;0.4632;0.4930;0.2211;0.3299;0.2452;0.0000;0.5000;0.0000;0.0000;0.3904;0.0465;0.0000;1;327;189;0.9594;0.6633;0.5771;0.3660;0.2671;0.0985;0.6410;0.5134;0.3319;0.4692;0.1338;0.0932;fc_800e9da67b;compound_form;1;0.0714;0.2189;0.0118;0.3957;0.0053;0.9488;0.0000;0.5000;0.0000;0.0000;770;0.5491;0.5365;0.2506;0.3392;0.0000
1767379800000000;15;8;hold;pause_mode;WAIT;fs_560020e242;1|-0.55|-0.55|-0.55|0.00|0.50|0.50|0.00;-0.60|-0.60|-0.60|-1.00|-0.20|0.00|0.20|0.40|0.60|0.60|0.20|0.40|0.40|0.20|0.40|0.40|0.00|0.00|0.00;wide_form;1;0.4208;0.4122;0.2038;0.3266;0.2424;-0.0853;0.4937;0.0446;0.0379;0.4527;0.0755;0.0253;1;327;1302;0.9939;0.6404;0.5571;0.3589;0.2475;0.1067;0.6389;0.4621;0.3415;0.3962;0.1308;0.1247;fc_52a8788eca;compound_form;28;0.6829;0.7496;0.3900;0.5316;0.2935;0.3273;0.0000;0.5000;0.0000;0.0000;770;0.4803;0.4662;0.1000;0.0000;0.0000
1767380400000000;17;10;hold;pause_mode;WAIT;fs_1be6879be8;1|-0.55|-0.55|-0.55|0.55|0.50|0.50|0.00;-0.60|-0.60|-0.60|-0.80|-0.20|0.40|0.00|0.40|0.60|0.60|0.20|0.60|0.40|0.20|0.40|0.40|0.20|0.40|0.00;wide_form;1;0.4507;0.4151;0.2054;0.3253;0.2386;0.0000;0.5000;0.0000;0.0000;0.4839;0.0497;0.0000;1;327;557;0.9858;0.6366;0.5483;0.3514;0.2501;0.1127;0.6312;0.4990;0.3551;0.3908;0.1406;0.1264;fc_a94aa9f8a5;compound_form;85;0.8673;0.7515;0.4997;0.5582;0.4070;0.1344;0.0000;0.5000;0.0000;0.0000;770;0.4838;0.4706;0.2540;0.3147;0.0000
1767380700000000;18;11;hold;context_cluster_negative;WAIT;fs_b9f6eed9b6;2|0.00|-0.40|0.00|0.40|0.40|0.35|0.70|0.00;-0.20|-0.20|-0.40|-0.20|-0.20|0.20|0.00|0.80|0.20|1.00|0.40|0.80|0.60|0.20|0.60|0.60|0.00|0.00|0.00;structured_form;2;0.5907;0.2178;0.3028;0.4257;0.3348;0.0000;0.5000;0.0000;0.0000;0.4075;0.0224;0.0000;1;327;39;0.8298;0.7795;0.5866;0.4391;0.1791;0.0619;0.6229;0.6355;0.1601;0.2423;0.2633;0.0931;fc_8481a9ce13;compound_form;1;0.0714;0.2280;0.0124;0.3988;0.0056;0.9559;0.0000;0.5000;0.0000;0.0000;771;0.5683;0.5603;0.1000;0.0000;0.0000
