MCM_DECISION | long_score=1.6571 short_score=-2.7610 memory_center=-0.8966 memory_strength=23 self_state=active attractor=analysis felt_bearing_score=0.3665 felt_profile_label=recovering best_score=1.6571 reject_reason=-
MCM_DECISION | long_score=-0.7678 short_score=-0.5527 memory_center=-0.2650 memory_strength=18 self_state=stressed attractor=cooperate felt_bearing_score=0.5395 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.7510 short_score=-0.3322 memory_center=1.2096 memory_strength=33 self_state=stressed attractor=neutral felt_bearing_score=0.5471 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=1.2206 short_score=-2.3953 memory_center=1.2551 memory_strength=26 self_state=stressed attractor=neutral felt_bearing_score=0.5707 felt_profile_label=mixed_unclear best_score=1.2206 reject_reason=-
MCM_DECISION | long_score=-3.2139 short_score=1.5505 memory_center=-2.4238 memory_strength=33 self_state=stressed attractor=defense felt_bearing_score=0.5520 felt_profile_label=recovering best_score=1.5505 reject_reason=-
MCM_DECISION | long_score=-0.6736 short_score=-0.9413 memory_center=-1.6268 memory_strength=31 self_state=stressed attractor=defense felt_bearing_score=0.5801 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1778 short_score=0.1254 memory_center=2.3255 memory_strength=25 self_state=stressed attractor=explore felt_bearing_score=0.5954 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.9825 short_score=0.3502 memory_center=-0.3970 memory_strength=29 self_state=stressed attractor=defense felt_bearing_score=0.5962 felt_profile_label=mixed_unclear best_score=0.3502 reject_reason=-
MCM_DECISION | long_score=-3.0859 short_score=0.9874 memory_center=-1.3725 memory_strength=41 self_state=stressed attractor=defense felt_bearing_score=0.5926 felt_profile_label=mixed_unclear best_score=0.9874 reject_reason=-
MCM_DECISION | long_score=0.7904 short_score=-2.5799 memory_center=-2.4607 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.5935 felt_profile_label=mixed_unclear best_score=0.7904 reject_reason=-
MCM_DECISION | long_score=0.4407 short_score=-1.3854 memory_center=1.1753 memory_strength=15 self_state=stressed attractor=cooperate felt_bearing_score=0.6108 felt_profile_label=mixed_unclear best_score=0.4407 reject_reason=-
MCM_DECISION | long_score=-1.4266 short_score=-0.3174 memory_center=-1.3604 memory_strength=32 self_state=stressed attractor=defense felt_bearing_score=0.6019 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.5523 short_score=-1.8409 memory_center=-1.2660 memory_strength=27 self_state=stressed attractor=defense felt_bearing_score=0.5978 felt_profile_label=mixed_unclear best_score=0.5523 reject_reason=-
MCM_DECISION | long_score=-0.6255 short_score=-0.7398 memory_center=1.3404 memory_strength=25 self_state=stressed attractor=neutral felt_bearing_score=0.5696 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5219 short_score=-1.6227 memory_center=-2.3668 memory_strength=21 self_state=stressed attractor=defense felt_bearing_score=0.5954 felt_profile_label=mixed_unclear best_score=0.5219 reject_reason=-
MCM_DECISION | long_score=-2.5455 short_score=0.9268 memory_center=2.1845 memory_strength=20 self_state=stressed attractor=explore felt_bearing_score=0.5683 felt_profile_label=mixed_unclear best_score=0.9268 reject_reason=-
MCM_DECISION | long_score=0.1117 short_score=-1.6980 memory_center=-2.4368 memory_strength=42 self_state=stressed attractor=defense felt_bearing_score=0.6103 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-3.1632 short_score=1.3164 memory_center=-2.4451 memory_strength=24 self_state=stressed attractor=defense felt_bearing_score=0.5927 felt_profile_label=mixed_unclear best_score=1.3164 reject_reason=-
MCM_DECISION | long_score=-0.7451 short_score=-0.7447 memory_center=-2.4761 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.5885 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-2.5149 short_score=0.3889 memory_center=-2.4997 memory_strength=43 self_state=stressed attractor=defense felt_bearing_score=0.5898 felt_profile_label=mixed_unclear best_score=0.3889 reject_reason=-
MCM_DECISION | long_score=-0.9416 short_score=-1.0097 memory_center=-2.4970 memory_strength=58 self_state=stressed attractor=defense felt_bearing_score=0.5948 felt_profile_label=recovering best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.1278 short_score=-1.4327 memory_center=-1.4129 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6160 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.1453 short_score=-1.0145 memory_center=2.2923 memory_strength=26 self_state=stressed attractor=explore felt_bearing_score=0.5978 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.6202 short_score=-2.8921 memory_center=0.7718 memory_strength=15 self_state=stressed attractor=cooperate felt_bearing_score=0.5913 felt_profile_label=mixed_unclear best_score=1.6202 reject_reason=-
MCM_DECISION | long_score=-2.6704 short_score=0.9173 memory_center=-0.6709 memory_strength=22 self_state=stressed attractor=defense felt_bearing_score=0.5971 felt_profile_label=mixed_unclear best_score=0.9173 reject_reason=-
MCM_DECISION | long_score=-2.2264 short_score=0.7240 memory_center=-1.3591 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.6005 felt_profile_label=mixed_unclear best_score=0.7240 reject_reason=-
MCM_DECISION | long_score=-2.4584 short_score=0.1470 memory_center=-2.3724 memory_strength=45 self_state=stressed attractor=defense felt_bearing_score=0.6046 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1242 short_score=-0.6742 memory_center=-2.4743 memory_strength=38 self_state=stressed attractor=defense felt_bearing_score=0.5943 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.8239 short_score=0.8183 memory_center=0.0651 memory_strength=20 self_state=stressed attractor=cooperate felt_bearing_score=0.6035 felt_profile_label=mixed_unclear best_score=0.8183 reject_reason=-
MCM_DECISION | long_score=1.5562 short_score=-3.2532 memory_center=2.4042 memory_strength=26 self_state=stressed attractor=explore felt_bearing_score=0.3739 felt_profile_label=mixed_unclear best_score=1.5562 reject_reason=-
MCM_DECISION | long_score=-0.9160 short_score=-0.6948 memory_center=1.2685 memory_strength=40 self_state=stressed attractor=neutral felt_bearing_score=0.5882 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=-2.0425 short_score=0.8342 memory_center=1.1328 memory_strength=21 self_state=stressed attractor=cooperate felt_bearing_score=0.5917 felt_profile_label=mixed_unclear best_score=0.8342 reject_reason=-
MCM_DECISION | long_score=-1.0619 short_score=-0.0900 memory_center=-0.3296 memory_strength=19 self_state=stressed attractor=defense felt_bearing_score=0.5985 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=stressed_block
MCM_DECISION | long_score=0.4337 short_score=-1.8695 memory_center=-0.3567 memory_strength=28 self_state=stressed attractor=defense felt_bearing_score=0.6014 felt_profile_label=mixed_unclear best_score=0.4337 reject_reason=-
MCM_DECISION | long_score=-0.6249 short_score=-0.7074 memory_center=0.3703 memory_strength=42 self_state=stressed attractor=cooperate felt_bearing_score=0.5784 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=1.0779 short_score=-2.2787 memory_center=0.2889 memory_strength=31 self_state=stressed attractor=cooperate felt_bearing_score=0.5888 felt_profile_label=recovering best_score=1.0779 reject_reason=-
MCM_DECISION | long_score=-1.0853 short_score=-0.6701 memory_center=-2.2818 memory_strength=25 self_state=stressed attractor=defense felt_bearing_score=0.5918 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.9120 short_score=-0.3375 memory_center=0.0975 memory_strength=23 self_state=stressed attractor=cooperate felt_bearing_score=0.5882 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0561 short_score=0.0721 memory_center=-0.0269 memory_strength=18 self_state=stressed attractor=cooperate felt_bearing_score=0.6001 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0829 short_score=-0.4673 memory_center=-2.5052 memory_strength=26 self_state=stressed attractor=defense felt_bearing_score=0.5795 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.5076 short_score=-2.0642 memory_center=2.2395 memory_strength=33 self_state=stressed attractor=explore felt_bearing_score=0.6081 felt_profile_label=mixed_unclear best_score=0.5076 reject_reason=-
MCM_DECISION | long_score=-1.7075 short_score=0.0655 memory_center=2.3707 memory_strength=55 self_state=stressed attractor=explore felt_bearing_score=0.5973 felt_profile_label=recovering best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.1950 short_score=-0.1604 memory_center=2.3234 memory_strength=26 self_state=stressed attractor=explore felt_bearing_score=0.5974 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.0293 short_score=-1.3456 memory_center=2.2911 memory_strength=28 self_state=stressed attractor=explore felt_bearing_score=0.3765 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.8877 short_score=0.6773 memory_center=1.2583 memory_strength=32 self_state=stressed attractor=neutral felt_bearing_score=0.3772 felt_profile_label=mixed_unclear best_score=0.6773 reject_reason=-
MCM_DECISION | long_score=0.1780 short_score=-1.8336 memory_center=-2.1978 memory_strength=20 self_state=stressed attractor=defense felt_bearing_score=0.5984 felt_profile_label=mixed_unclear best_score=0.0000 reject_reason=fused_score_too_low
