MCM_STATE | mode=market impulse=0.0617 motivation=0.0210 risk=-0.0910 replay=-0.0059 self_state=active attractor=defense mean_energy=2.4749 mean_motivation=0.1759 mean_risk=-1.1136 mean_velocity=0.3512 clusters=1 memory_center=-1.7431 memory_strength=14
MCM_STATE | mode=market impulse=0.4106 motivation=0.0794 risk=-0.0514 replay=0.0183 self_state=stressed attractor=defense mean_energy=-1.5358 mean_motivation=-0.0090 mean_risk=-1.5525 mean_velocity=0.1281 clusters=1 memory_center=-2.3767 memory_strength=25
MCM_STATE | mode=market impulse=0.7914 motivation=0.2158 risk=-0.1217 replay=0.0312 self_state=stressed attractor=cooperate mean_energy=1.7799 mean_motivation=0.1921 mean_risk=-1.6083 mean_velocity=0.3655 clusters=1 memory_center=1.1393 memory_strength=40
MCM_STATE | mode=market impulse=0.8494 motivation=0.1702 risk=-0.0739 replay=0.0002 self_state=stressed attractor=defense mean_energy=0.0727 mean_motivation=0.1237 mean_risk=-1.7908 mean_velocity=0.2635 clusters=1 memory_center=-1.1043 memory_strength=39
MCM_STATE | mode=market impulse=1.3932 motivation=0.2659 risk=-0.2133 replay=0.0267 self_state=stressed attractor=explore mean_energy=2.4191 mean_motivation=0.3499 mean_risk=-1.9258 mean_velocity=0.6590 clusters=1 memory_center=2.1091 memory_strength=33
MCM_STATE | mode=market impulse=0.7139 motivation=0.1330 risk=-0.0765 replay=-0.0023 self_state=stressed attractor=explore mean_energy=0.5713 mean_motivation=0.0802 mean_risk=-1.9339 mean_velocity=0.4194 clusters=1 memory_center=2.2459 memory_strength=17
MCM_STATE | mode=market impulse=-1.2127 motivation=-0.1369 risk=-0.3091 replay=-0.0163 self_state=stressed attractor=defense mean_energy=-1.3925 mean_motivation=0.0450 mean_risk=-2.0962 mean_velocity=0.4938 clusters=1 memory_center=-1.3583 memory_strength=26
MCM_STATE | mode=market impulse=0.6115 motivation=0.1101 risk=-0.0814 replay=-0.0239 self_state=stressed attractor=defense mean_energy=-0.0220 mean_motivation=0.0776 mean_risk=-2.0387 mean_velocity=0.2632 clusters=1 memory_center=-2.4345 memory_strength=37
MCM_STATE | mode=market impulse=-0.2878 motivation=-0.0434 risk=-0.0798 replay=0.0277 self_state=stressed attractor=neutral mean_energy=-0.3084 mean_motivation=0.0618 mean_risk=-1.9154 mean_velocity=0.2493 clusters=1 memory_center=1.2265 memory_strength=21
MCM_STATE | mode=market impulse=-0.6506 motivation=-0.0604 risk=-0.1065 replay=-0.0170 self_state=stressed attractor=cooperate mean_energy=-1.1987 mean_motivation=0.0391 mean_risk=-2.0191 mean_velocity=0.4591 clusters=1 memory_center=-0.2909 memory_strength=17
MCM_STATE | mode=market impulse=-1.0305 motivation=-0.1040 risk=-0.3098 replay=0.0277 self_state=stressed attractor=defense mean_energy=-2.4291 mean_motivation=-0.0904 mean_risk=-1.9345 mean_velocity=0.5197 clusters=1 memory_center=-1.4524 memory_strength=34
