MCM_STATE | mode=market impulse=-1.3665 motivation=-0.0635 risk=-0.3399 replay=0.0275 self_state=active attractor=defense mean_energy=-2.8500 mean_motivation=-0.0800 mean_risk=-1.3756 mean_velocity=0.8536 clusters=1 memory_center=-2.2006 memory_strength=28
MCM_STATE | mode=market impulse=0.0517 motivation=0.0087 risk=-0.0698 replay=-0.0094 self_state=stressed attractor=cooperate mean_energy=1.0867 mean_motivation=0.1203 mean_risk=-1.5241 mean_velocity=0.2343 clusters=1 memory_center=1.1197 memory_strength=25
MCM_STATE | mode=market impulse=-0.0499 motivation=-0.0241 risk=-0.1473 replay=0.0120 self_state=stressed attractor=defense mean_energy=-1.5239 mean_motivation=-0.0748 mean_risk=-1.8538 mean_velocity=0.3519 clusters=1 memory_center=-1.2696 memory_strength=24
MCM_STATE | mode=market impulse=0.2613 motivation=0.0141 risk=-0.1288 replay=0.0087 self_state=stressed attractor=cooperate mean_energy=2.0540 mean_motivation=0.2288 mean_risk=-1.7638 mean_velocity=0.3052 clusters=1 memory_center=1.1948 memory_strength=28
MCM_STATE | mode=market impulse=-0.6791 motivation=-0.1379 risk=-0.2184 replay=0.0227 self_state=stressed attractor=explore mean_energy=-1.2230 mean_motivation=-0.1501 mean_risk=-2.0608 mean_velocity=0.5063 clusters=1 memory_center=1.8912 memory_strength=27
MCM_STATE | mode=market impulse=0.7324 motivation=0.2051 risk=-0.1140 replay=-0.0163 self_state=stressed attractor=defense mean_energy=-1.4342 mean_motivation=0.0797 mean_risk=-1.9893 mean_velocity=0.1521 clusters=1 memory_center=-2.3553 memory_strength=23
MCM_STATE | mode=market impulse=-0.6987 motivation=-0.0553 risk=-0.1247 replay=-0.0284 self_state=stressed attractor=defense mean_energy=-2.4973 mean_motivation=-0.1997 mean_risk=-2.0667 mean_velocity=0.6162 clusters=1 memory_center=-2.4389 memory_strength=36
MCM_STATE | mode=market impulse=0.4195 motivation=0.0572 risk=-0.1697 replay=-0.0333 self_state=stressed attractor=cooperate mean_energy=1.2901 mean_motivation=0.0881 mean_risk=-2.1189 mean_velocity=0.2123 clusters=1 memory_center=1.0211 memory_strength=39
MCM_STATE | mode=market impulse=-0.5142 motivation=-0.1275 risk=-0.1959 replay=0.0288 self_state=stressed attractor=defense mean_energy=-0.7327 mean_motivation=-0.0713 mean_risk=-1.9889 mean_velocity=0.2593 clusters=1 memory_center=-1.0315 memory_strength=24
MCM_STATE | mode=market impulse=0.3826 motivation=0.0962 risk=-0.0394 replay=-0.0333 self_state=stressed attractor=defense mean_energy=1.8108 mean_motivation=0.2894 mean_risk=-1.8845 mean_velocity=0.3591 clusters=1 memory_center=-0.8146 memory_strength=25
MCM_STATE | mode=market impulse=-1.0650 motivation=-0.0890 risk=-0.2729 replay=-0.0040 self_state=stressed attractor=neutral mean_energy=-1.8489 mean_motivation=-0.0292 mean_risk=-1.9739 mean_velocity=0.4865 clusters=1 memory_center=1.4698 memory_strength=22
