MCM_DECISION | long_score=-0.8867 short_score=0.6906 memory_center=-0.6243 memory_strength=12 self_state=active attractor=analysis best_score=0.6906 reject_reason=-
MCM_DECISION | long_score=0.6070 short_score=-1.1301 memory_center=0.4044 memory_strength=32 self_state=active attractor=cooperate best_score=0.6070 reject_reason=-
MCM_DECISION | long_score=-1.8085 short_score=1.3856 memory_center=0.4044 memory_strength=27 self_state=active attractor=cooperate best_score=1.3856 reject_reason=-
MCM_DECISION | long_score=1.4467 short_score=-1.8580 memory_center=0.4044 memory_strength=23 self_state=active attractor=cooperate best_score=1.4467 reject_reason=-
MCM_DECISION | long_score=1.6991 short_score=-2.3009 memory_center=0.4044 memory_strength=20 self_state=active attractor=cooperate best_score=1.6991 reject_reason=-
MCM_DECISION | long_score=1.7209 short_score=-2.5311 memory_center=2.1808 memory_strength=25 self_state=active attractor=explore best_score=1.7209 reject_reason=-
MCM_DECISION | long_score=0.5180 short_score=-1.0332 memory_center=0.9231 memory_strength=23 self_state=active attractor=cooperate best_score=0.5180 reject_reason=-
MCM_DECISION | long_score=-1.2889 short_score=0.7599 memory_center=0.9231 memory_strength=20 self_state=active attractor=cooperate best_score=0.7599 reject_reason=-
MCM_DECISION | long_score=-1.8581 short_score=1.1386 memory_center=0.9231 memory_strength=17 self_state=active attractor=cooperate best_score=1.1386 reject_reason=-
MCM_DECISION | long_score=-0.9730 short_score=-0.2194 memory_center=-2.0454 memory_strength=25 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.1010 short_score=-0.7283 memory_center=-0.7883 memory_strength=24 self_state=active attractor=analysis best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.8579 short_score=0.9667 memory_center=-0.7883 memory_strength=20 self_state=active attractor=analysis best_score=0.9667 reject_reason=-
MCM_DECISION | long_score=1.1873 short_score=-1.6010 memory_center=0.3945 memory_strength=20 self_state=active attractor=cooperate best_score=1.1873 reject_reason=-
MCM_DECISION | long_score=0.9994 short_score=-1.5112 memory_center=0.3945 memory_strength=17 self_state=active attractor=cooperate best_score=0.9994 reject_reason=-
MCM_DECISION | long_score=0.0999 short_score=-0.9515 memory_center=2.0747 memory_strength=26 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0190 short_score=0.5180 memory_center=2.0747 memory_strength=22 self_state=active attractor=explore best_score=0.5180 reject_reason=-
MCM_DECISION | long_score=1.2568 short_score=-2.2871 memory_center=2.1192 memory_strength=31 self_state=active attractor=explore best_score=1.2568 reject_reason=-
MCM_DECISION | long_score=-1.5348 short_score=0.7640 memory_center=0.3718 memory_strength=24 self_state=active attractor=cooperate best_score=0.7640 reject_reason=-
