MCM_DECISION | long_score=-0.8742 short_score=0.6781 memory_center=-0.6469 memory_strength=12 self_state=active attractor=analysis best_score=0.6781 reject_reason=-
MCM_DECISION | long_score=0.8702 short_score=-0.9133 memory_center=0.4787 memory_strength=12 self_state=active attractor=cooperate best_score=0.8702 reject_reason=-
MCM_DECISION | long_score=-1.7742 short_score=1.5645 memory_center=-0.8166 memory_strength=12 self_state=active attractor=analysis best_score=1.5645 reject_reason=-
MCM_DECISION | long_score=1.4878 short_score=-1.8232 memory_center=0.5397 memory_strength=19 self_state=active attractor=cooperate best_score=1.4878 reject_reason=-
MCM_DECISION | long_score=-0.7009 short_score=0.4379 memory_center=0.5397 memory_strength=16 self_state=active attractor=cooperate best_score=0.4379 reject_reason=-
MCM_DECISION | long_score=1.8079 short_score=-2.3623 memory_center=0.5397 memory_strength=14 self_state=active attractor=cooperate best_score=1.8079 reject_reason=-
MCM_DECISION | long_score=0.3710 short_score=-0.8735 memory_center=0.5397 memory_strength=12 self_state=active attractor=cooperate best_score=0.3710 reject_reason=-
MCM_DECISION | long_score=-0.1554 short_score=-0.5810 memory_center=1.6484 memory_strength=22 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.2929 short_score=-0.2146 memory_center=0.6661 memory_strength=20 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.8736 short_score=1.5799 memory_center=0.6661 memory_strength=17 self_state=active attractor=cooperate best_score=1.5799 reject_reason=-
MCM_DECISION | long_score=1.2676 short_score=-1.8787 memory_center=0.6703 memory_strength=24 self_state=active attractor=cooperate best_score=1.2676 reject_reason=-
MCM_DECISION | long_score=0.3260 short_score=-1.2144 memory_center=0.6835 memory_strength=32 self_state=active attractor=cooperate best_score=0.3260 reject_reason=-
MCM_DECISION | long_score=-0.3083 short_score=-0.6750 memory_center=0.5947 memory_strength=39 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0748 short_score=-0.0688 memory_center=0.4604 memory_strength=45 self_state=active attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.5693 short_score=0.6181 memory_center=0.4604 memory_strength=38 self_state=active attractor=cooperate best_score=0.6181 reject_reason=-
MCM_DECISION | long_score=1.3702 short_score=-2.3164 memory_center=0.4604 memory_strength=32 self_state=active attractor=cooperate best_score=1.3702 reject_reason=-
MCM_DECISION | long_score=-1.2795 short_score=0.4983 memory_center=0.4604 memory_strength=23 self_state=active attractor=cooperate best_score=0.4983 reject_reason=-
MCM_DECISION | long_score=-1.8911 short_score=1.0171 memory_center=0.4604 memory_strength=20 self_state=active attractor=cooperate best_score=1.0171 reject_reason=-
MCM_DECISION | long_score=-2.5960 short_score=1.3691 memory_center=-2.1257 memory_strength=25 self_state=active attractor=defense best_score=1.3691 reject_reason=-
MCM_DECISION | long_score=-2.9983 short_score=1.3818 memory_center=-2.1629 memory_strength=33 self_state=stressed attractor=defense best_score=1.3818 reject_reason=-
MCM_DECISION | long_score=-0.3730 short_score=-0.6692 memory_center=-2.1629 memory_strength=28 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.1869 short_score=-0.6713 memory_center=-2.1629 memory_strength=24 self_state=active attractor=defense best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-1.0647 short_score=0.3752 memory_center=-2.1629 memory_strength=20 self_state=active attractor=defense best_score=0.3752 reject_reason=-
MCM_DECISION | long_score=-0.4597 short_score=-0.1854 memory_center=0.3343 memory_strength=28 self_state=stable attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.1333 short_score=-0.7284 memory_center=0.1871 memory_strength=36 self_state=stable attractor=cooperate best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=0.8757 short_score=-1.7406 memory_center=0.1871 memory_strength=31 self_state=active attractor=cooperate best_score=0.8757 reject_reason=-
MCM_DECISION | long_score=0.1041 short_score=-0.9737 memory_center=2.1216 memory_strength=25 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
MCM_DECISION | long_score=-0.9997 short_score=0.5146 memory_center=2.1216 memory_strength=21 self_state=active attractor=explore best_score=0.5146 reject_reason=-
MCM_DECISION | long_score=1.2616 short_score=-2.2650 memory_center=2.1281 memory_strength=30 self_state=active attractor=explore best_score=1.2616 reject_reason=-
MCM_DECISION | long_score=-1.4793 short_score=0.6295 memory_center=2.1281 memory_strength=22 self_state=active attractor=explore best_score=0.6295 reject_reason=-
MCM_DECISION | long_score=-1.8889 short_score=0.9729 memory_center=2.1281 memory_strength=19 self_state=active attractor=explore best_score=0.9729 reject_reason=-
MCM_DECISION | long_score=-1.8078 short_score=0.6300 memory_center=-2.1907 memory_strength=25 self_state=active attractor=defense best_score=0.6300 reject_reason=-
MCM_DECISION | long_score=0.9559 short_score=-1.7945 memory_center=-2.1907 memory_strength=21 self_state=active attractor=defense best_score=0.9559 reject_reason=-
MCM_DECISION | long_score=0.7283 short_score=-1.6126 memory_center=1.9738 memory_strength=24 self_state=active attractor=explore best_score=0.7283 reject_reason=-
MCM_DECISION | long_score=0.9085 short_score=-2.0593 memory_center=2.0869 memory_strength=32 self_state=active attractor=explore best_score=0.9085 reject_reason=-
MCM_DECISION | long_score=1.3809 short_score=-2.6752 memory_center=2.1435 memory_strength=39 self_state=active attractor=explore best_score=1.3809 reject_reason=-
MCM_DECISION | long_score=-0.8862 short_score=0.1024 memory_center=2.1435 memory_strength=28 self_state=active attractor=explore best_score=0.0000 reject_reason=fused_score_too_low
