MCM_STATE | mode=market impulse=-0.4216 motivation=-0.0575 risk=-0.0893 replay=0.0000 self_state=active attractor=analysis mean_energy=-0.6496 mean_motivation=-0.0466 mean_risk=-0.1285 mean_velocity=0.1822 clusters=1 memory_center=-0.6469 memory_strength=12
MCM_STATE | mode=market impulse=0.6626 motivation=0.1328 risk=-0.0413 replay=0.0000 self_state=active attractor=cooperate mean_energy=0.4580 mean_motivation=0.0833 mean_risk=-0.1660 mean_velocity=0.2411 clusters=1 memory_center=0.4787 memory_strength=12
MCM_STATE | mode=market impulse=-0.7997 motivation=-0.1382 risk=-0.2252 replay=0.0057 self_state=active attractor=analysis mean_energy=-0.7753 mean_motivation=-0.0329 mean_risk=-0.3370 mean_velocity=0.2972 clusters=1 memory_center=-0.8166 memory_strength=12
MCM_STATE | mode=outcome impulse=-0.9340 motivation=-0.2261 risk=-0.2235 replay=0.0057 self_state=active attractor=defense mean_energy=-1.9432 mean_motivation=-0.2347 mean_risk=-0.4701 mean_velocity=0.2272 clusters=1 memory_center=-2.0306 memory_strength=12
MCM_STATE | mode=market impulse=1.5526 motivation=0.1321 risk=-0.2304 replay=-0.0244 self_state=active attractor=cooperate mean_energy=0.6460 mean_motivation=-0.0707 mean_risk=-0.6415 mean_velocity=0.2777 clusters=1 memory_center=0.5397 memory_strength=19
MCM_STATE | mode=market impulse=-0.5524 motivation=-0.0336 risk=-0.2154 replay=0.0065 self_state=active attractor=cooperate mean_energy=-0.2155 mean_motivation=-0.0294 mean_risk=-0.7214 mean_velocity=0.2950 clusters=1 memory_center=0.5397 memory_strength=16
MCM_STATE | mode=market impulse=1.7890 motivation=0.1566 risk=-0.2445 replay=-0.0244 self_state=active attractor=cooperate mean_energy=1.9500 mean_motivation=0.1872 mean_risk=-0.8552 mean_velocity=0.1927 clusters=1 memory_center=0.5397 memory_strength=14
MCM_STATE | mode=market impulse=0.0010 motivation=0.0197 risk=-0.0772 replay=0.0065 self_state=active attractor=cooperate mean_energy=1.5124 mean_motivation=0.2412 mean_risk=-0.7896 mean_velocity=0.1820 clusters=1 memory_center=0.5397 memory_strength=12
MCM_STATE | mode=market impulse=0.0902 motivation=-0.0291 risk=-0.0707 replay=0.0210 self_state=active attractor=explore mean_energy=1.4903 mean_motivation=0.1997 mean_risk=-0.7464 mean_velocity=0.2738 clusters=1 memory_center=1.6484 memory_strength=22
MCM_STATE | mode=market impulse=-0.3129 motivation=-0.0293 risk=-0.1295 replay=0.0065 self_state=active attractor=cooperate mean_energy=0.8257 mean_motivation=0.1706 mean_risk=-0.7800 mean_velocity=0.3067 clusters=1 memory_center=0.6661 memory_strength=20
MCM_STATE | mode=market impulse=-0.8301 motivation=-0.1485 risk=-0.2533 replay=0.0198 self_state=active attractor=cooperate mean_energy=-0.6019 mean_motivation=0.0064 mean_risk=-0.9233 mean_velocity=0.3218 clusters=1 memory_center=0.6661 memory_strength=17
MCM_STATE | mode=outcome impulse=-0.9354 motivation=-0.2261 risk=-0.2235 replay=-0.0024 self_state=active attractor=defense mean_energy=-1.8888 mean_motivation=-0.2655 mean_risk=-0.9880 mean_velocity=0.2140 clusters=1 memory_center=-2.0428 memory_strength=15
MCM_STATE | mode=market impulse=1.5414 motivation=0.1270 risk=-0.2134 replay=-0.0245 self_state=active attractor=cooperate mean_energy=0.6552 mean_motivation=-0.1764 mean_risk=-1.0749 mean_velocity=0.2564 clusters=1 memory_center=0.6703 memory_strength=24
MCM_STATE | mode=market impulse=0.0748 motivation=0.0377 risk=-0.2509 replay=-0.0024 self_state=active attractor=cooperate mean_energy=0.7326 mean_motivation=-0.1241 mean_risk=-1.1782 mean_velocity=0.2829 clusters=1 memory_center=0.6835 memory_strength=32
MCM_STATE | mode=market impulse=-0.1281 motivation=0.0035 risk=-0.0833 replay=0.0264 self_state=active attractor=cooperate mean_energy=0.4535 mean_motivation=-0.0937 mean_risk=-1.1134 mean_velocity=0.2908 clusters=1 memory_center=0.5947 memory_strength=39
